Lead_0,Lead_1,Lead_2,Lead_3,Lead_4,Lead_5,Lead_6,Lead_7,Lead_8,Lead_9,Lead_10
-742.635828709978,-577.2128744123751,-481.178714080764,-526.483488268677,-610.098447029053,-750.2909173566406,-529.6193077142979,-622.4216963302558,-734.4753362961629,-649.1477122331866,-442.4259910215145
-742.635828709978,-574.7714681623751,-481.178714080764,-528.924894518677,-607.657040779053,-752.7323236066406,-527.1779014642979,-624.8631025802558,-734.4753362961629,-649.1477122331866,-442.4259910215145
-742.635828709978,-574.7714681623751,-481.178714080764,-528.924894518677,-607.657040779053,-752.7323236066406,-527.1779014642979,-624.8631025802558,-734.4753362961629,-649.1477122331866,-442.4259910215145
-742.635828709978,-574.7714681623751,-481.178714080764,-526.483488268677,-607.657040779053,-760.0565423566406,-527.1779014642979,-624.8631025802558,-734.4753362961629,-646.7063059831866,-442.4259910215145
-737.753016209978,-577.2128744123751,-476.295901580764,-528.924894518677,-607.657040779053,-757.6151361066406,-527.1779014642979,-629.7459150802558,-729.5925237961629,-644.2648997331866,-442.4259910215145
-737.753016209978,-577.2128744123751,-476.295901580764,-528.924894518677,-607.657040779053,-757.6151361066406,-527.1779014642979,-629.7459150802558,-729.5925237961629,-644.2648997331866,-442.4259910215145
-737.753016209978,-577.2128744123751,-476.295901580764,-528.924894518677,-607.657040779053,-757.6151361066406,-529.6193077142979,-627.3045088302558,-734.4753362961629,-644.2648997331866,-437.5431785215145
-737.753016209978,-574.7714681623751,-473.854495330764,-528.924894518677,-607.657040779053,-760.0565423566406,-527.1779014642979,-629.7459150802558,-734.4753362961629,-641.8234934831866,-435.1017722715145
-735.311609959978,-574.7714681623751,-471.413089080764,-528.924894518677,-610.098447029053,-760.0565423566406,-527.1779014642979,-629.7459150802558,-734.4753362961629,-641.8234934831866,-435.1017722715145
-735.311609959978,-574.7714681623751,-471.413089080764,-528.924894518677,-610.098447029053,-760.0565423566406,-527.1779014642979,-629.7459150802558,-734.4753362961629,-641.8234934831866,-435.1017722715145
-732.870203709978,-572.3300619123751,-473.854495330764,-526.483488268677,-612.539853279053,-760.0565423566406,-527.1779014642979,-629.7459150802558,-732.0339300461629,-639.3820872331866,-432.6603660215145
-727.987391209978,-567.4472494123751,-473.854495330764,-526.483488268677,-610.098447029053,-757.6151361066406,-529.6193077142979,-629.7459150802558,-727.1511175461629,-636.9406809831866,-432.6603660215145
-727.987391209978,-567.4472494123751,-473.854495330764,-526.483488268677,-610.098447029053,-757.6151361066406,-529.6193077142979,-629.7459150802558,-727.1511175461629,-636.9406809831866,-432.6603660215145
-727.987391209978,-567.4472494123751,-473.854495330764,-526.483488268677,-610.098447029053,-757.6151361066406,-532.0607139642979,-624.8631025802558,-724.7097112961629,-636.9406809831866,-430.2189597715145
-730.428797459978,-567.4472494123751,-471.413089080764,-524.042082018677,-612.539853279053,-760.0565423566406,-529.6193077142979,-627.3045088302558,-724.7097112961629,-636.9406809831866,-427.7775535215145
-727.987391209978,-572.3300619123751,-471.413089080764,-528.924894518677,-612.539853279053,-760.0565423566406,-529.6193077142979,-627.3045088302558,-724.7097112961629,-636.9406809831866,-427.7775535215145
-727.987391209978,-572.3300619123751,-468.971682830764,-526.483488268677,-612.539853279053,-760.0565423566406,-529.6193077142979,-627.3045088302558,-724.7097112961629,-636.9406809831866,-425.3361472715145
-730.428797459978,-572.3300619123751,-473.854495330764,-526.483488268677,-612.539853279053,-760.0565423566406,-527.1779014642979,-629.7459150802558,-724.7097112961629,-634.4992747331866,-422.8947410215145
-732.870203709978,-572.3300619123751,-473.854495330764,-524.042082018677,-614.981259529053,-760.0565423566406,-529.6193077142979,-624.8631025802558,-724.7097112961629,-634.4992747331866,-422.8947410215145
-732.870203709978,-572.3300619123751,-473.854495330764,-524.042082018677,-614.981259529053,-760.0565423566406,-529.6193077142979,-624.8631025802558,-724.7097112961629,-634.4992747331866,-422.8947410215145
-732.870203709978,-572.3300619123751,-473.854495330764,-524.042082018677,-614.981259529053,-755.1737298566406,-529.6193077142979,-619.9802900802558,-724.7097112961629,-636.9406809831866,-422.8947410215145
-732.870203709978,-567.4472494123751,-471.413089080764,-524.042082018677,-612.539853279053,-752.7323236066406,-532.0607139642979,-619.9802900802558,-722.2683050461629,-639.3820872331866,-425.3361472715145
-732.870203709978,-567.4472494123751,-473.854495330764,-526.483488268677,-612.539853279053,-752.7323236066406,-532.0607139642979,-619.9802900802558,-722.2683050461629,-639.3820872331866,-425.3361472715145
-732.870203709978,-567.4472494123751,-473.854495330764,-526.483488268677,-612.539853279053,-752.7323236066406,-532.0607139642979,-619.9802900802558,-722.2683050461629,-639.3820872331866,-422.8947410215145
-735.311609959978,-562.5644369123751,-481.178714080764,-526.483488268677,-612.539853279053,-747.8495111066406,-534.5021202142979,-612.6560713302558,-724.7097112961629,-639.3820872331866,-422.8947410215145
-730.428797459978,-557.6816244123751,-483.620120330764,-524.042082018677,-607.657040779053,-747.8495111066406,-534.5021202142979,-612.6560713302558,-724.7097112961629,-639.3820872331866,-422.8947410215145
-730.428797459978,-557.6816244123751,-483.620120330764,-524.042082018677,-607.657040779053,-747.8495111066406,-534.5021202142979,-612.6560713302558,-724.7097112961629,-639.3820872331866,-422.8947410215145
-727.987391209978,-560.1230306623751,-478.737307830764,-519.159269518677,-607.657040779053,-750.2909173566406,-534.5021202142979,-610.2146650802558,-727.1511175461629,-644.2648997331866,-418.0119285215145
-730.428797459978,-560.1230306623751,-478.737307830764,-524.042082018677,-605.215634529053,-747.8495111066406,-532.0607139642979,-607.7732588302558,-727.1511175461629,-644.2648997331866,-418.0119285215145
-730.428797459978,-560.1230306623751,-478.737307830764,-524.042082018677,-605.215634529053,-747.8495111066406,-532.0607139642979,-607.7732588302558,-727.1511175461629,-644.2648997331866,-418.0119285215145
-730.428797459978,-560.1230306623751,-478.737307830764,-524.042082018677,-597.891415779053,-745.4081048566406,-534.5021202142979,-602.8904463302558,-727.1511175461629,-644.2648997331866,-422.8947410215145
-735.311609959978,-552.7988119123751,-478.737307830764,-521.600675768677,-602.774228279053,-745.4081048566406,-541.8263389642979,-602.8904463302558,-727.1511175461629,-644.2648997331866,-422.8947410215145
-735.311609959978,-552.7988119123751,-478.737307830764,-521.600675768677,-602.774228279053,-745.4081048566406,-541.8263389642979,-602.8904463302558,-727.1511175461629,-644.2648997331866,-422.8947410215145
-735.311609959978,-552.7988119123751,-476.295901580764,-526.483488268677,-600.332822029053,-742.9666986066406,-541.8263389642979,-605.3318525802558,-727.1511175461629,-641.8234934831866,-427.7775535215145
-737.753016209978,-555.2402181623751,-476.295901580764,-528.924894518677,-600.332822029053,-740.5252923566406,-549.1505577142979,-602.8904463302558,-732.0339300461629,-641.8234934831866,-427.7775535215145
-737.753016209978,-555.2402181623751,-476.295901580764,-528.924894518677,-600.332822029053,-740.5252923566406,-549.1505577142979,-602.8904463302558,-732.0339300461629,-641.8234934831866,-427.7775535215145
-737.753016209978,-555.2402181623751,-476.295901580764,-528.924894518677,-602.774228279053,-740.5252923566406,-546.7091514642979,-600.4490400802558,-732.0339300461629,-639.3820872331866,-427.7775535215145
-737.753016209978,-557.6816244123751,-476.295901580764,-528.924894518677,-605.215634529053,-733.2010736066406,-549.1505577142979,-598.0076338302558,-732.0339300461629,-639.3820872331866,-430.2189597715145
-737.753016209978,-552.7988119123751,-476.295901580764,-528.924894518677,-605.215634529053,-733.2010736066406,-549.1505577142979,-598.0076338302558,-732.0339300461629,-639.3820872331866,-430.2189597715145
-737.753016209978,-552.7988119123751,-476.295901580764,-528.924894518677,-605.215634529053,-733.2010736066406,-549.1505577142979,-598.0076338302558,-732.0339300461629,-641.8234934831866,-430.2189597715145
-735.311609959978,-552.7988119123751,-478.737307830764,-524.042082018677,-605.215634529053,-730.7596673566406,-549.1505577142979,-598.0076338302558,-734.4753362961629,-632.0578684831866,-430.2189597715145
-737.753016209978,-552.7988119123751,-481.178714080764,-521.600675768677,-610.098447029053,-730.7596673566406,-549.1505577142979,-598.0076338302558,-734.4753362961629,-632.0578684831866,-430.2189597715145
-737.753016209978,-552.7988119123751,-481.178714080764,-521.600675768677,-607.657040779053,-728.3182611066406,-549.1505577142979,-598.0076338302558,-734.4753362961629,-632.0578684831866,-430.2189597715145
-737.753016209978,-555.2402181623751,-481.178714080764,-509.393644518677,-607.657040779053,-725.8768548566406,-549.1505577142979,-595.5662275802558,-736.9167425461629,-636.9406809831866,-427.7775535215145
-737.753016209978,-552.7988119123751,-481.178714080764,-506.952238268677,-612.539853279053,-723.4354486066406,-544.2677452142979,-595.5662275802558,-736.9167425461629,-636.9406809831866,-427.7775535215145
-737.753016209978,-552.7988119123751,-481.178714080764,-506.952238268677,-612.539853279053,-723.4354486066406,-544.2677452142979,-595.5662275802558,-736.9167425461629,-636.9406809831866,-427.7775535215145
-737.753016209978,-552.7988119123751,-483.620120330764,-506.952238268677,-619.864072029053,-723.4354486066406,-546.7091514642979,-595.5662275802558,-739.3581487961629,-634.4992747331866,-427.7775535215145
-737.753016209978,-547.9159994123751,-481.178714080764,-506.952238268677,-617.422665779053,-723.4354486066406,-549.1505577142979,-598.0076338302558,-736.9167425461629,-632.0578684831866,-430.2189597715145
-737.753016209978,-547.9159994123751,-481.178714080764,-506.952238268677,-617.422665779053,-723.4354486066406,-549.1505577142979,-598.0076338302558,-736.9167425461629,-632.0578684831866,-430.2189597715145
-737.753016209978,-547.9159994123751,-481.178714080764,-506.952238268677,-617.422665779053,-723.4354486066406,-549.1505577142979,-598.0076338302558,-744.2409612961629,-634.4992747331866,-430.2189597715145
-737.753016209978,-547.9159994123751,-481.178714080764,-506.952238268677,-617.422665779053,-723.4354486066406,-549.1505577142979,-595.5662275802558,-744.2409612961629,-634.4992747331866,-430.2189597715145
-737.753016209978,-547.9159994123751,-481.178714080764,-506.952238268677,-617.422665779053,-723.4354486066406,-549.1505577142979,-595.5662275802558,-744.2409612961629,-634.4992747331866,-430.2189597715145
-737.753016209978,-547.9159994123751,-481.178714080764,-506.952238268677,-617.422665779053,-723.4354486066406,-549.1505577142979,-598.0076338302558,-746.6823675461629,-629.6164622331866,-430.2189597715145
-737.753016209978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-718.5526361066406,-549.1505577142979,-598.0076338302558,-746.6823675461629,-629.6164622331866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-716.1112298566406,-546.7091514642979,-598.0076338302558,-744.2409612961629,-627.1750559831866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-716.1112298566406,-546.7091514642979,-598.0076338302558,-744.2409612961629,-627.1750559831866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-716.1112298566406,-546.7091514642979,-598.0076338302558,-744.2409612961629,-627.1750559831866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-716.1112298566406,-546.7091514642979,-598.0076338302558,-744.2409612961629,-627.1750559831866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-716.1112298566406,-546.7091514642979,-598.0076338302558,-744.2409612961629,-627.1750559831866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-716.1112298566406,-544.2677452142979,-598.0076338302558,-741.7995550461629,-629.6164622331866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-716.1112298566406,-544.2677452142979,-598.0076338302558,-741.7995550461629,-629.6164622331866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-716.1112298566406,-544.2677452142979,-598.0076338302558,-741.7995550461629,-629.6164622331866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-716.1112298566406,-544.2677452142979,-598.0076338302558,-741.7995550461629,-629.6164622331866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-610.098447029053,-718.5526361066406,-546.7091514642979,-598.0076338302558,-741.7995550461629,-629.6164622331866,-435.1017722715145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-610.098447029053,-718.5526361066406,-546.7091514642979,-598.0076338302558,-746.6823675461629,-632.0578684831866,-437.5431785215145
-735.311609959978,-547.9159994123751,-483.620120330764,-509.393644518677,-612.539853279053,-720.9940423566406,-551.5919639642979,-598.0076338302558,-746.6823675461629,-632.0578684831866,-437.5431785215145
-737.753016209978,-550.3574056623751,-486.061526580764,-509.393644518677,-612.539853279053,-720.9940423566406,-551.5919639642979,-598.0076338302558,-739.3581487961629,-627.1750559831866,-437.5431785215145
-737.753016209978,-550.3574056623751,-486.061526580764,-509.393644518677,-612.539853279053,-720.9940423566406,-549.1505577142979,-598.0076338302558,-739.3581487961629,-627.1750559831866,-437.5431785215145
-737.753016209978,-550.3574056623751,-486.061526580764,-509.393644518677,-612.539853279053,-720.9940423566406,-549.1505577142979,-598.0076338302558,-739.3581487961629,-627.1750559831866,-437.5431785215145
-735.311609959978,-550.3574056623751,-486.061526580764,-509.393644518677,-612.539853279053,-720.9940423566406,-549.1505577142979,-598.0076338302558,-739.3581487961629,-627.1750559831866,-437.5431785215145
-735.311609959978,-550.3574056623751,-486.061526580764,-506.952238268677,-610.098447029053,-720.9940423566406,-549.1505577142979,-598.0076338302558,-739.3581487961629,-627.1750559831866,-437.5431785215145
-735.311609959978,-550.3574056623751,-488.502932830764,-506.952238268677,-610.098447029053,-720.9940423566406,-549.1505577142979,-593.1248213302558,-734.4753362961629,-622.2922434831866,-437.5431785215145
-735.311609959978,-550.3574056623751,-486.061526580764,-504.510832018677,-612.539853279053,-725.8768548566406,-549.1505577142979,-593.1248213302558,-734.4753362961629,-619.8508372331866,-435.1017722715145
-735.311609959978,-552.7988119123751,-486.061526580764,-504.510832018677,-612.539853279053,-725.8768548566406,-546.7091514642979,-583.3591963302558,-734.4753362961629,-619.8508372331866,-435.1017722715145
-735.311609959978,-552.7988119123751,-486.061526580764,-504.510832018677,-610.098447029053,-725.8768548566406,-546.7091514642979,-583.3591963302558,-734.4753362961629,-619.8508372331866,-435.1017722715145
-735.311609959978,-552.7988119123751,-486.061526580764,-504.510832018677,-610.098447029053,-725.8768548566406,-546.7091514642979,-583.3591963302558,-734.4753362961629,-617.4094309831866,-435.1017722715145
-735.311609959978,-552.7988119123751,-486.061526580764,-504.510832018677,-610.098447029053,-725.8768548566406,-546.7091514642979,-583.3591963302558,-734.4753362961629,-617.4094309831866,-435.1017722715145
-735.311609959978,-550.3574056623751,-483.620120330764,-506.952238268677,-610.098447029053,-725.8768548566406,-546.7091514642979,-583.3591963302558,-734.4753362961629,-617.4094309831866,-437.5431785215145
-732.870203709978,-550.3574056623751,-483.620120330764,-506.952238268677,-610.098447029053,-730.7596673566406,-544.2677452142979,-585.8006025802558,-734.4753362961629,-617.4094309831866,-437.5431785215145
-732.870203709978,-552.7988119123751,-478.737307830764,-506.952238268677,-610.098447029053,-730.7596673566406,-544.2677452142979,-585.8006025802558,-732.0339300461629,-614.9680247331866,-437.5431785215145
-737.753016209978,-552.7988119123751,-478.737307830764,-506.952238268677,-607.657040779053,-723.4354486066406,-544.2677452142979,-585.8006025802558,-732.0339300461629,-614.9680247331866,-437.5431785215145
-737.753016209978,-552.7988119123751,-478.737307830764,-504.510832018677,-607.657040779053,-723.4354486066406,-544.2677452142979,-585.8006025802558,-732.0339300461629,-614.9680247331866,-437.5431785215145
-737.753016209978,-552.7988119123751,-478.737307830764,-504.510832018677,-607.657040779053,-723.4354486066406,-544.2677452142979,-585.8006025802558,-729.5925237961629,-614.9680247331866,-437.5431785215145
-737.753016209978,-552.7988119123751,-478.737307830764,-504.510832018677,-607.657040779053,-723.4354486066406,-544.2677452142979,-585.8006025802558,-729.5925237961629,-614.9680247331866,-437.5431785215145
-735.311609959978,-555.2402181623751,-473.854495330764,-504.510832018677,-607.657040779053,-723.4354486066406,-544.2677452142979,-585.8006025802558,-729.5925237961629,-610.0852122331866,-437.5431785215145
-735.311609959978,-555.2402181623751,-473.854495330764,-511.835050768677,-610.098447029053,-723.4354486066406,-544.2677452142979,-585.8006025802558,-729.5925237961629,-612.5266184831866,-439.9845847715145
-732.870203709978,-557.6816244123751,-473.854495330764,-511.835050768677,-610.098447029053,-723.4354486066406,-546.7091514642979,-588.2420088302558,-732.0339300461629,-607.6438059831866,-439.9845847715145
-732.870203709978,-557.6816244123751,-471.413089080764,-516.717863268677,-610.098447029053,-723.4354486066406,-546.7091514642979,-588.2420088302558,-732.0339300461629,-607.6438059831866,-439.9845847715145
-732.870203709978,-557.6816244123751,-473.854495330764,-516.717863268677,-610.098447029053,-723.4354486066406,-546.7091514642979,-588.2420088302558,-732.0339300461629,-607.6438059831866,-439.9845847715145
-732.870203709978,-557.6816244123751,-473.854495330764,-516.717863268677,-610.098447029053,-723.4354486066406,-546.7091514642979,-590.6834150802558,-732.0339300461629,-607.6438059831866,-439.9845847715145
-732.870203709978,-557.6816244123751,-473.854495330764,-516.717863268677,-610.098447029053,-723.4354486066406,-546.7091514642979,-590.6834150802558,-732.0339300461629,-607.6438059831866,-444.8673972715145
-740.194422459978,-557.6816244123751,-473.854495330764,-516.717863268677,-607.657040779053,-728.3182611066406,-544.2677452142979,-590.6834150802558,-732.0339300461629,-607.6438059831866,-444.8673972715145
-737.753016209978,-555.2402181623751,-471.413089080764,-514.276457018677,-607.657040779053,-728.3182611066406,-544.2677452142979,-590.6834150802558,-729.5925237961629,-605.2023997331866,-444.8673972715145
-742.635828709978,-555.2402181623751,-471.413089080764,-514.276457018677,-605.215634529053,-720.9940423566406,-544.2677452142979,-590.6834150802558,-729.5925237961629,-605.2023997331866,-444.8673972715145
-742.635828709978,-555.2402181623751,-471.413089080764,-516.717863268677,-605.215634529053,-720.9940423566406,-544.2677452142979,-590.6834150802558,-729.5925237961629,-605.2023997331866,-444.8673972715145
-742.635828709978,-555.2402181623751,-471.413089080764,-516.717863268677,-605.215634529053,-720.9940423566406,-544.2677452142979,-590.6834150802558,-727.1511175461629,-605.2023997331866,-444.8673972715145
-742.635828709978,-555.2402181623751,-471.413089080764,-516.717863268677,-605.215634529053,-720.9940423566406,-544.2677452142979,-590.6834150802558,-727.1511175461629,-605.2023997331866,-444.8673972715145
-740.194422459978,-552.7988119123751,-473.854495330764,-509.393644518677,-605.215634529053,-720.9940423566406,-544.2677452142979,-588.2420088302558,-722.2683050461629,-605.2023997331866,-439.9845847715145
-740.194422459978,-552.7988119123751,-473.854495330764,-506.952238268677,-602.774228279053,-723.4354486066406,-541.8263389642979,-588.2420088302558,-722.2683050461629,-605.2023997331866,-439.9845847715145
-737.753016209978,-550.3574056623751,-473.854495330764,-504.510832018677,-602.774228279053,-723.4354486066406,-541.8263389642979,-588.2420088302558,-724.7097112961629,-605.2023997331866,-439.9845847715145
-740.194422459978,-552.7988119123751,-473.854495330764,-504.510832018677,-602.774228279053,-723.4354486066406,-541.8263389642979,-588.2420088302558,-724.7097112961629,-607.6438059831866,-439.9845847715145
-740.194422459978,-552.7988119123751,-473.854495330764,-504.510832018677,-602.774228279053,-723.4354486066406,-541.8263389642979,-588.2420088302558,-724.7097112961629,-607.6438059831866,-439.9845847715145
-740.194422459978,-552.7988119123751,-473.854495330764,-506.952238268677,-602.774228279053,-723.4354486066406,-541.8263389642979,-588.2420088302558,-724.7097112961629,-607.6438059831866,-439.9845847715145
-740.194422459978,-552.7988119123751,-473.854495330764,-506.952238268677,-602.774228279053,-723.4354486066406,-544.2677452142979,-590.6834150802558,-727.1511175461629,-607.6438059831866,-439.9845847715145
-740.194422459978,-552.7988119123751,-473.854495330764,-506.952238268677,-600.332822029053,-725.8768548566406,-544.2677452142979,-590.6834150802558,-727.1511175461629,-605.2023997331866,-435.1017722715145
-735.311609959978,-552.7988119123751,-473.854495330764,-506.952238268677,-600.332822029053,-723.4354486066406,-541.8263389642979,-588.2420088302558,-729.5925237961629,-607.6438059831866,-435.1017722715145
-735.311609959978,-552.7988119123751,-471.413089080764,-504.510832018677,-600.332822029053,-718.5526361066406,-541.8263389642979,-588.2420088302558,-729.5925237961629,-607.6438059831866,-442.4259910215145
-737.753016209978,-552.7988119123751,-471.413089080764,-504.510832018677,-600.332822029053,-718.5526361066406,-541.8263389642979,-588.2420088302558,-727.1511175461629,-607.6438059831866,-442.4259910215145
-737.753016209978,-552.7988119123751,-471.413089080764,-504.510832018677,-600.332822029053,-718.5526361066406,-541.8263389642979,-588.2420088302558,-727.1511175461629,-607.6438059831866,-442.4259910215145
-737.753016209978,-552.7988119123751,-468.971682830764,-504.510832018677,-600.332822029053,-718.5526361066406,-541.8263389642979,-588.2420088302558,-727.1511175461629,-607.6438059831866,-442.4259910215145
-737.753016209978,-552.7988119123751,-468.971682830764,-504.510832018677,-600.332822029053,-716.1112298566406,-539.3849327142979,-585.8006025802558,-727.1511175461629,-607.6438059831866,-442.4259910215145
-737.753016209978,-552.7988119123751,-468.971682830764,-506.952238268677,-597.891415779053,-716.1112298566406,-539.3849327142979,-585.8006025802558,-727.1511175461629,-612.5266184831866,-437.5431785215145
-737.753016209978,-552.7988119123751,-468.971682830764,-506.952238268677,-595.450009529053,-713.6698236066406,-536.9435264642979,-588.2420088302558,-729.5925237961629,-612.5266184831866,-437.5431785215145
-737.753016209978,-550.3574056623751,-466.530276580764,-504.510832018677,-595.450009529053,-713.6698236066406,-536.9435264642979,-588.2420088302558,-729.5925237961629,-610.0852122331866,-442.4259910215145
-740.194422459978,-550.3574056623751,-466.530276580764,-504.510832018677,-595.450009529053,-713.6698236066406,-536.9435264642979,-588.2420088302558,-727.1511175461629,-610.0852122331866,-442.4259910215145
-740.194422459978,-550.3574056623751,-466.530276580764,-504.510832018677,-595.450009529053,-713.6698236066406,-536.9435264642979,-588.2420088302558,-727.1511175461629,-610.0852122331866,-442.4259910215145
-740.194422459978,-550.3574056623751,-466.530276580764,-506.952238268677,-595.450009529053,-713.6698236066406,-536.9435264642979,-588.2420088302558,-727.1511175461629,-610.0852122331866,-442.4259910215145
-740.194422459978,-550.3574056623751,-466.530276580764,-506.952238268677,-595.450009529053,-713.6698236066406,-532.0607139642979,-585.8006025802558,-727.1511175461629,-610.0852122331866,-442.4259910215145
-740.194422459978,-550.3574056623751,-466.530276580764,-504.510832018677,-590.567197029053,-713.6698236066406,-532.0607139642979,-585.8006025802558,-724.7097112961629,-602.7609934831866,-439.9845847715145
-740.194422459978,-550.3574056623751,-466.530276580764,-504.510832018677,-593.008603279053,-716.1112298566406,-529.6193077142979,-580.9177900802558,-724.7097112961629,-602.7609934831866,-439.9845847715145
-737.753016209978,-547.9159994123751,-464.088870330764,-499.628019518677,-593.008603279053,-716.1112298566406,-529.6193077142979,-580.9177900802558,-729.5925237961629,-605.2023997331866,-435.1017722715145
-737.753016209978,-547.9159994123751,-464.088870330764,-499.628019518677,-593.008603279053,-716.1112298566406,-529.6193077142979,-583.3591963302558,-729.5925237961629,-605.2023997331866,-435.1017722715145
-737.753016209978,-547.9159994123751,-464.088870330764,-499.628019518677,-593.008603279053,-716.1112298566406,-529.6193077142979,-583.3591963302558,-729.5925237961629,-605.2023997331866,-435.1017722715145
-737.753016209978,-550.3574056623751,-464.088870330764,-499.628019518677,-593.008603279053,-716.1112298566406,-529.6193077142979,-583.3591963302558,-729.5925237961629,-605.2023997331866,-435.1017722715145
-737.753016209978,-550.3574056623751,-464.088870330764,-499.628019518677,-588.125790779053,-713.6698236066406,-529.6193077142979,-583.3591963302558,-729.5925237961629,-605.2023997331866,-435.1017722715145
-737.753016209978,-547.9159994123751,-464.088870330764,-499.628019518677,-588.125790779053,-713.6698236066406,-529.6193077142979,-573.5935713302558,-729.5925237961629,-605.2023997331866,-435.1017722715145
-737.753016209978,-545.4745931623751,-461.647464080764,-499.628019518677,-590.567197029053,-716.1112298566406,-529.6193077142979,-573.5935713302558,-729.5925237961629,-602.7609934831866,-432.6603660215145
-735.311609959978,-547.9159994123751,-461.647464080764,-499.628019518677,-590.567197029053,-716.1112298566406,-527.1779014642979,-568.7107588302558,-724.7097112961629,-605.2023997331866,-432.6603660215145
